user_id	post_type	post_id
1428241	answer	14584297
1661983	answer	32868784
114251	answer	32835421
4592928	answer	32800842
3900153	answer	32699424
5111146	answer	32699373
4592928	answer	32672019
4671195	answer	32671992
2992220	answer	32561785
5315239	answer	32493149
4867993	answer	32493102
3225108	answer	32416719
3386635	answer	32389866
5285945	answer	32323823
1376624	answer	32302981
2805519	answer	32302986
4365315	answer	32296663
5258183	answer	32193750
5246327	answer	32115970
109392	answer	32005377
5122581	answer	32005324
2991619	answer	31969649
1055103	answer	31890657
4306798	answer	31889721
3406576	answer	31872746
1055103	answer	31871304
5200780	answer	31871286
4114907	answer	31840396
4844421	answer	31840117
5140776	answer	31641642
4725625	answer	31641683
4223358	answer	31628343
2720041	answer	31617605
2522817	answer	31610010
5019360	answer	31609691
3509618	answer	31610088
5037551	answer	31608422
1143572	answer	31596202
3498950	answer	31595358
4437396	answer	31562279
4690741	answer	31562431
3480602	answer	31562330
4780390	answer	31505612
4179776	answer	31469413
1913729	answer	31450728
1299073	answer	31438213
19068	answer	31214738
3586768	answer	31182167
5064908	answer	31182243
649504	answer	31182220
3425110	answer	31158792
4037707	answer	31158659
508127	answer	31137158
1344955	answer	31136353
2057445	answer	31076836
2661301	answer	31076444
1280391	answer	31063418
1877390	answer	31050105
5037740	answer	30996509
611293	answer	30991651
421163	answer	30991624
3973105	answer	30991618
557748	answer	30943972
2137269	answer	30900791
4937944	answer	30900789
4928759	answer	30828413
1582029	answer	30826945
893541	answer	30684673
4908989	answer	30684653
3449496	answer	30601635
3961271	answer	30600098
2801559	answer	30599927
3468982	answer	30458757
500298	answer	30443904
4908989	answer	30443861
3903374	answer	30405075
4157279	answer	30375728
754119	answer	30334140
1130119	answer	30334065
3700849	answer	30334113
1213296	answer	30317464
2545286	answer	30198017
4698464	answer	30197963
1535827	answer	29951915
3546939	answer	29949796
3988232	answer	29880571
77501	answer	29880553
3389866	answer	29857778
4830176	answer	29857737
949476	answer	29857664
3389866	answer	29855594
3703531	answer	29636434
1221792	answer	29625180
2509053	answer	29614993
278893	answer	29541783
4756106	answer	29480781
1451859	answer	29445282
4746418	answer	29445205
4515956	answer	29399223
3815092	answer	29398736
1659277	answer	29376196
4719913	answer	29296652
1410918	answer	29218846
1483981	answer	29222407
2801559	answer	22412551
4478897	answer	29140188
1316698	answer	29081746
3889449	answer	29034351
4572668	answer	29034560
201078	answer	28985600
4637160	answer	28986464
238310	answer	28983639
1143622	answer	28984613
519413	answer	28983546
3571248	answer	28977959
2700880	answer	28911632
3581423	answer	28911528
4603285	answer	28778419
2902208	answer	28666305
1496715	answer	28658120
1021703	answer	28370287
519413	answer	28370067
3461086	answer	28350985
2480715	answer	28350868
128165	answer	28344261
3526422	answer	28321008
2065597	answer	28317123
1308757	answer	28312301
2476755	answer	28203475
3978693	answer	28160661
4182216	answer	28160610
4466092	answer	28160524
3113558	answer	27988668
1585362	answer	27988480
468392	answer	27882929
3315133	answer	27882661
586051	answer	27655990
3190165	answer	27642606
1340674	answer	27642876
3943125	answer	27642562
2573335	answer	27642326
1240972	answer	27640791
2260946	answer	27379109
1428241	answer	27379041
3190165	answer	27249662
4003182	answer	27249654
2173853	answer	27083518
2702894	answer	26723202
3905567	answer	26446559
114251	answer	26248780
3943125	answer	26246779
3577767	answer	26224908
4106356	answer	26182626
2315558	answer	26182504
4055525	answer	26038989
242076	answer	25945023
3406576	answer	25919347
2578037	answer	25919251
4000611	answer	25624840
114251	answer	25484862
1375710	answer	25478949
3749553	answer	25452682
839501	answer	25213987
3817050	answer	25042795
1433150	answer	25041791
798539	answer	24938610
3870002	answer	24920517
752527	answer	24920354
1880580	answer	24894663
3859574	answer	24881245
3225004	answer	24881229
3686138	answer	24881162
3007335	answer	24649404
1428241	answer	24649241
3603806	answer	24649341
1015959	answer	24649307
3374771	answer	22146519
1141332	answer	15679770
329788	answer	15679578
1317805	answer	15679557
1161353	answer	13981265
1053949	answer	13979974
1572595	answer	13782942
682030	answer	13782924
1667136	answer	13782909
1428241	answer	11631190
1428241	answer	11632934
573218	answer	11632991
1220864	answer	11632864
702469	answer	11628041
1428241	answer	11627680
15472	answer	11541382
1428241	answer	11540983
1428241	answer	11538065
970349	answer	11538033
886539	answer	7797248
708689	answer	7797231
239078	answer	7797200
3856753	answer	24881078
2334320	answer	24881062
2540625	answer	24818843
2064800	answer	24784502
3809630	answer	24769514
1077233	answer	24636579
1428241	answer	24636252
1118830	answer	24604582
2311841	answer	24532957
2874009	answer	24532933
1094553	answer	24532879
1260245	answer	24532743
3639582	answer	24503937
3693099	answer	24090668
2689500	answer	24061704
2758393	answer	23969207
240613	answer	23969201
789001	answer	23964317
191226	answer	23830745
3650375	answer	23830200
154112	answer	23744821
8655	answer	23744133
3629257	answer	23743837
3637307	answer	23707900
1305850	answer	15010645
1156334	answer	14945686
2151351	answer	23628616
3465769	answer	23628231
2416531	answer	23628145
1696560	answer	23628131
3581423	answer	23589168
2846794	answer	23589082
1169959	answer	23589096
1125062	answer	11043822
2000051	answer	23429707
3589586	answer	23428875
1400370	answer	23127540
1249198	answer	23177849
3519413	answer	23129506
404335	answer	23129523
265561	answer	23129505
2138752	answer	23129490
395910	answer	23031940
965051	answer	22926035
3324060	answer	22894359
1828084	answer	22871155
